real_mv;read_mv;adc
70,90000153;0,00000000;0
72,30000305;0,00000000;0
81,90000153;0,00000000;0
86,80000305;0,00000000;0
96,59999847;0,00000000;0
150,00000000;28,19824219;35
146,69999695;24,16992188;30
134,50000000;13,69628906;17
108,59999847;0,80566406;1
173,19999695;46,72851562;58
216,80000305;90,23437500;112
253,89999390;128,10058594;159
300,60000610;177,24609375;220
358,50000000;234,44824219;291
417,39999390;297,29003906;369
438,29998779;315,01464844;391
457,39999390;333,54492188;414
500,60000610;376,24511719;467
539,20001221;413,30566406;513
587,79998779;469,70214844;583
638,00000000;510,79101562;634
646,00000000;524,48730469;651
668,00000000;543,82324219;675
721,00000000;598,60839844;743
759,00000000;637,28027344;791
790,00000000;669,50683594;831
824,00000000;694,48242188;862
848,00000000;726,70898438;902
891,00000000;771,02050781;957
921,00000000;804,85839844;999
952,00000000;836,27929688;1038
992,00000000;874,14550781;1085
1034,00000000;921,67968750;1144
1063,00000000;949,87792969;1179
1096,00000000;978,07617188;1214
1139,00000000;1029,63867188;1278
1167,00000000;1053,80859375;1308
1199,00000000;1090,86914062;1354
1245,00000000;1135,98632812;1410
1307,00000000;1198,02246094;1487
1345,00000000;1236,69433594;1535
1401,00000000;1301,95312500;1616
1446,00000000;1341,43066406;1665
1514,00000000;1413,94042969;1755
1551,00000000;1446,16699219;1795
1604,00000000;1498,53515625;1860
1673,00000000;1566,21093750;1944
1726,00000000;1620,99609375;2012
1778,00000000;1676,58691406;2081
1819,00000000;1718,48144531;2133
1907,00000000;1810,32714844;2247
2026,00000000;1931,98242188;2398
2113,00000000;2015,77148438;2502
2198,00000000;2105,20019531;2613
2258,00000000;2165,62500000;2688
2295,00000000;2201,87988281;2733
2349,00000000;2256,66503906;2801
2411,00000000;2327,56347656;2889
2481,00000000;2398,46191406;2977
2547,00000000;2471,77734375;3068
2613,00000000;2547,50976562;3162
2668,00000000;2607,12890625;3236
2739,00000000;2696,55761719;3347
2804,00000000;2776,31835938;3446
2868,00000000;2870,58105469;3563
2941,00000000;2989,81933594;3711
2990,00000000;3076,02539062;3818
3028,00000000;3132,42187500;3888
3070,00000000;3220,23925781;3997
3153,00000000;3297,58300781;4093
3219,00000000;3299,19433594;4095
3267,00000000;3299,19433594;4095
3293,00000000;3299,19433594;4095
3294,00000000;3299,19433594;4095
1128,00000000;1015,94238281;126