real;reading;adc_read
11,200000;0,000000;0
38,500000;0,000000;0
83,800003;54,785156;68
62,400002;5,639648;7
50,400002;0,000000;0
70,500000;16,113281;20
117,699997;166,772461;207
138,100006;237,670898;295
164,500000;326,293945;405
187,100006;406,054688;504
226,199997;553,491211;687
261,500000;668,701172;830
300,100006;804,052734;998
331,600006;912,817383;1133
358,399994;995,800781;1236
400,799988;1158,544922;1438
434,500000;1274,560547;1582
489,399994;1462,280273;1815
523,799988;1583,935547;1966
560,450012;1711,230469;2124
599,700012;1852,221680;2299
627,000000;1919,091797;2382
645,000000;2018,188477;2505
662,000000;2034,301758;2525
690,000000;2128,564453;2642
709,000000;2205,908203;2738
734,000000;2285,668945;2837
765,000000;2429,077148;3015
802,000000;2553,149414;3169
833,000000;2658,691406;3300
867,000000;2751,342773;3415
900,000000;2882,666016;3578
929,000000;2969,677734;3686
962,000000;3087,304688;3832
994,000000;3196,875000;3968
1027,000000;3255,688477;4041
1034,000000;3259,716797;4046
1045,000000;3275,024414;4065
1059,000000;3279,858398;4071
1081,000000;3297,583008;4093
1099,000000;3294,360352;4089
1122,000000;3299,194336;4095
272,000000;724,291992;899